Iteration,t_k,gradnorm,objective,time,grad_time,prox_time
0,0.000000,32416351143.096054,58387300452.600296,269.000000,264.000000,2.000000
1,0.000000,1664656.578615,2759570.793748,904.000000,255.000000,1.000000
2,0.000000,1664480.217355,2759262.882261,1540.000000,263.000000,1.000000
3,0.000000,1664303.883697,2758955.036013,2226.000000,270.000000,1.000000
4,0.000000,1664127.577403,2758647.254987,2910.000000,276.000000,0.000000
5,0.000000,1663951.298468,2758339.539165,3568.000000,257.000000,0.000000
6,0.000000,1663775.046888,2758031.888531,3818.000000,102.000000,0.000000
7,0.000000,1663598.822658,2757724.303068,4066.000000,103.000000,1.000000
8,0.000000,1663422.625774,2757416.782758,4316.000000,103.000000,0.000000
9,0.000000,1663246.456232,2757109.327584,4567.000000,102.000000,0.000000
10,0.000000,1663070.314028,2756801.937531,4821.000000,102.000000,0.000000
11,0.000000,1662894.199157,2756494.612580,5074.000000,102.000000,0.000000
12,0.000000,1662718.111615,2756187.352714,5324.000000,103.000000,0.000000
13,0.000000,1662542.051398,2755880.157917,5575.000000,104.000000,0.000000
14,0.000000,1662366.018502,2755573.028172,5831.000000,106.000000,1.000000
15,0.000000,1662190.012922,2755265.963462,6094.000000,101.000000,0.000000
16,0.000000,1662014.034654,2754958.963769,6345.000000,102.000000,0.000000
17,0.000000,1661838.083693,2754652.029076,6597.000000,103.000000,0.000000
18,0.000000,1661662.160037,2754345.159368,6885.000000,110.000000,0.000000
19,0.000000,1661486.263679,2754038.354626,7138.000000,104.000000,0.000000
20,0.000000,1661310.394616,2753731.614834,7392.000000,106.000000,0.000000
21,0.000000,1661134.552845,2753424.939975,7643.000000,104.000000,0.000000
22,0.000000,1660958.738359,2753118.330032,7891.000000,103.000000,0.000000
23,0.000000,1660782.951156,2752811.784988,8144.000000,104.000000,0.000000
24,0.000000,1660607.191230,2752505.304825,8390.000000,103.000000,1.000000
25,0.000000,1660431.458579,2752198.889528,8642.000000,104.000000,0.000000
26,0.000000,1660255.753196,2751892.539079,8901.000000,106.000000,0.000000
27,0.000000,1660080.075079,2751586.253461,9164.000000,108.000000,0.000000
28,0.000000,1659904.424223,2751280.032658,9428.000000,110.000000,0.000000
29,0.000000,1659728.800623,2750973.876652,9629.000000,93.000000,1.000000
30,0.000000,1659553.204276,2750667.785426,9813.000000,77.000000,1.000000
31,0.000000,1659377.635177,2750361.758965,10025.000000,90.000000,1.000000
32,0.000000,1659202.093322,2750055.797249,10217.000000,84.000000,0.000000
33,0.000000,1659026.578706,2749749.900264,10400.000000,86.000000,0.000000
34,0.000000,1658851.091326,2749444.067991,10595.000000,95.000000,0.000000
35,0.000000,1658675.631176,2749138.300415,11046.000000,236.000000,0.000000
36,0.000000,1658500.198254,2748832.597517,11667.000000,287.000000,0.000000
37,0.000000,1658324.792554,2748526.959282,11870.000000,95.000000,1.000000
38,0.000000,1658149.414073,2748221.385692,12070.000000,94.000000,0.000000
39,0.000000,1657974.062805,2747915.876731,12256.000000,80.000000,0.000000
40,0.000000,1657798.738748,2747610.432381,12464.000000,101.000000,0.000000
41,0.000000,1657623.441896,2747305.052627,12658.000000,87.000000,1.000000
42,0.000000,1657448.172245,2746999.737450,12817.000000,69.000000,0.000000
43,0.000000,1657272.929792,2746694.486834,12993.000000,70.000000,0.000000
44,0.000000,1657097.714531,2746389.300762,13192.000000,93.000000,0.000000
45,0.000000,1656922.526459,2746084.179218,13372.000000,74.000000,0.000000
46,0.000000,1656747.365571,2745779.122185,13532.000000,69.000000,0.000000
47,0.000000,1656572.231864,2745474.129645,13714.000000,77.000000,1.000000
48,0.000000,1656397.125332,2745169.201582,13905.000000,86.000000,0.000000
49,0.000000,1656222.045972,2744864.337980,14066.000000,69.000000,0.000000
50,0.000000,1656046.993779,2744559.538820,14257.000000,93.000000,0.000000
51,0.000000,1655871.968749,2744254.804087,14441.000000,77.000000,0.000000
52,0.000000,1655696.970878,2743950.133764,14636.000000,88.000000,0.000000
53,0.000000,1655522.000162,2743645.527833,14861.000000,85.000000,1.000000
54,0.000000,1655347.056596,2743340.986279,15090.000000,121.000000,0.000000
55,0.000000,1655172.140176,2743036.509084,15375.000000,108.000000,0.000000
56,0.000000,1654997.250899,2742732.096232,15634.000000,106.000000,0.000000
57,0.000000,1654822.388758,2742427.747705,15899.000000,106.000000,1.000000
58,0.000000,1654647.553752,2742123.463487,16156.000000,103.000000,0.000000
59,0.000000,1654472.745874,2741819.243561,16407.000000,105.000000,1.000000
60,0.000000,1654297.965122,2741515.087911,16882.000000,209.000000,0.000000
61,0.000000,1654123.211490,2741210.996519,17342.000000,195.000000,0.000000
62,0.000000,1653948.484974,2740906.969370,17803.000000,190.000000,0.000000
63,0.000000,1653773.785571,2740603.006445,18287.000000,194.000000,1.000000
