Iteration,gradnorm,objective,time,two_loop_time,grad_time
35,32034.735207,27453.626553,0.000607,0.000001,0.000006
36,48165.233861,27257.573198,0.000621,0.000001,0.000005
37,102589.681946,26735.318807,0.000636,0.000001,0.000006
38,230845.576500,26231.421577,0.000651,0.000001,0.000006
39,100008.111206,25095.660178,0.000666,0.000000,0.000007
40,121404.004687,24198.391087,0.000681,0.000000,0.000007
41,49461.218889,23856.210728,0.000696,0.000001,0.000005
42,13103.231531,23834.122627,0.000711,0.000000,0.000006
43,11267.448066,23830.066899,0.000725,0.000000,0.000006
44,19180.926559,23826.381084,0.000740,0.000001,0.000006
45,33992.891086,23816.149513,0.000756,0.000000,0.000005
46,47190.141716,23796.326928,0.000771,0.000001,0.000006
47,49535.836963,23764.352081,0.000786,0.000001,0.000006
48,34197.534748,23702.582765,0.000801,0.000001,0.000006
49,69793.288276,23705.696808,0.000816,0.000000,0.000006
50,18263.946372,23673.925349,0.000831,0.000000,0.000007
51,7264.955346,23655.472515,0.000845,0.000000,0.000006
52,47232.719627,23562.060557,0.000860,0.000000,0.000005
53,53057.827262,23498.824283,0.000875,0.000000,0.000007
54,25587.273927,23377.440251,0.000890,0.000000,0.000006
55,41846.663839,23216.848399,0.000904,0.000001,0.000006
56,50085.119144,23132.721693,0.000919,0.000000,0.000006
57,58791.358216,23031.509260,0.000934,0.000001,0.000006
58,1092083.723400,32251.692673,0.000949,0.000000,0.000006
59,13117.069823,22998.076355,0.000964,0.000000,0.000006
60,12604.708630,22993.451029,0.000988,0.000000,0.000006
61,12817.588004,22957.407043,0.001003,0.000000,0.000005
62,16559.731147,22897.636744,0.001018,0.000000,0.000006
63,22998.666895,22787.495481,0.001033,0.000000,0.000006
64,36027.614017,22537.866782,0.001047,0.000000,0.000006
65,81617.232313,22222.210683,0.001062,0.000000,0.000006
66,202639.621046,22209.260067,0.001077,0.000000,0.000006
67,18580.871676,21789.662331,0.001091,0.000000,0.000006
68,13254.717408,21731.833596,0.001107,0.000000,0.000006
69,13150.861573,21692.757467,0.001122,0.000000,0.000007
70,39195.549390,21683.467014,0.001137,0.000000,0.000006
71,55561.649047,21620.347135,0.001151,0.000000,0.000006
72,20233.183657,21567.560156,0.001166,0.000001,0.000006
73,7257.655613,21522.234084,0.001183,0.000001,0.000006
74,26951.921212,21434.727889,0.001198,0.000001,0.000006
75,90601.920032,21358.488859,0.001215,0.000000,0.000006
76,32657.589233,21280.599883,0.001235,0.000000,0.000007
77,18943.130184,21247.280179,0.001253,0.000001,0.000006
78,27729.889431,21246.280783,0.001270,0.000001,0.000006
79,6211.967996,21235.502069,0.001286,0.000001,0.000007
80,5491.302168,21234.106961,0.001303,0.000001,0.000007
81,24500.346038,21209.724341,0.001320,0.000001,0.000007
82,35920.236263,21182.457051,0.001338,0.000000,0.000007
83,40599.869083,21147.684674,0.001355,0.000001,0.000007
84,1009553.118115,33074.921674,0.001378,0.000001,0.000007
85,13737.915757,21129.286564,0.001396,0.000000,0.000007
86,8484.882926,21125.905435,0.001414,0.000000,0.000008
87,11787.385331,21120.076143,0.001432,0.000000,0.000008
88,20718.477207,21111.920369,0.001451,0.000000,0.000008
89,40743.065462,21084.466513,0.001470,0.000000,0.000009
90,60403.530693,21032.854710,0.001490,0.000001,0.000008
91,53484.695763,20952.744867,0.001510,0.000001,0.000008
92,278922.142562,21389.373737,0.001531,0.000000,0.000009
93,46137.978852,20861.637797,0.001550,0.000001,0.000008
