Iteration,t_k,gradnorm,objective,time,two_loop_time,grad_time
1,0.000000,583437736224780648448.000000,18912922501554944603299501834240.000000,81.000000,1.000000,79.000000
2,0.000000,1664563.781694,2759273.040782,289.000000,1.000000,80.000000
3,0.000000,1664310.044635,2758965.177785,490.000000,1.000000,92.000000
4,0.000000,37943493.163153,1457100.646364,689.000000,0.000000,92.000000
5,0.000000,16824634.052269,1322574.619437,848.000000,1.000000,68.000000
6,0.000000,1453538.559834,1305078.381351,1039.000000,0.000000,93.000000
7,0.000000,824994.020237,1304833.181028,1218.000000,1.000000,73.000000
8,0.000000,1041625.491644,1304689.791636,1418.000000,0.000000,93.000000
9,0.000000,2338785.598896,1303956.239604,1577.000000,0.000000,69.000000
10,0.000000,4428955.992682,1302271.375531,1775.000000,0.000000,93.000000
11,0.000000,7898228.086381,1297704.091279,1973.000000,0.000000,93.000000
12,0.000000,12800454.195233,1286273.197968,2132.000000,0.000000,69.000000
13,0.000000,18574431.457348,1258581.314726,2292.000000,0.000000,69.000000
14,0.000000,22565698.632253,1201470.925173,2450.000000,1.000000,68.000000
15,0.000000,36149384.396592,1102408.609747,2629.000000,1.000000,73.000000
16,0.000000,20727439.676689,922752.434617,2827.000000,1.000000,92.000000
17,0.000000,19679257.180408,766186.683369,3006.000000,1.000000,73.000000
18,0.000000,3153352360.981452,553623430.963974,3204.000000,0.000000,92.000000
19,0.000000,497163.856449,659409.940533,3364.000000,1.000000,68.000000
20,0.000000,413091.293490,650832.480895,3562.000000,0.000000,92.000000
21,0.000000,410902.163315,617948.421914,3722.000000,0.000000,70.000000
22,0.000000,792590.497858,490097.339472,3900.000000,0.000000,75.000000
23,0.000000,633706.051421,432746.453574,4099.000000,1.000000,92.000000
24,0.000000,1375283.086506,529747.587516,4282.000000,0.000000,92.000000
25,0.000000,124563038.689687,1274241.233973,4434.000000,1.000000,68.000000
26,0.000000,274733.181074,412233.642146,4586.000000,0.000000,69.000000
27,0.000000,131735.497271,411299.336809,4768.000000,1.000000,77.000000
28,0.000000,226678.116704,412736.575100,4927.000000,1.000000,68.000000
29,0.000000,4253694.088617,793434.705108,5125.000000,0.000000,93.000000
30,0.000000,129791.783917,409705.780240,5323.000000,0.000000,93.000000
31,0.000000,128729.923003,408976.880281,5482.000000,0.000000,69.000000
32,0.000000,13013277548.766945,9428675480.715364,5664.000000,1.000000,76.000000
33,0.000000,282142.433019,393004.024766,5865.000000,1.000000,94.000000
34,0.000000,263125.033310,392981.889009,6066.000000,0.000000,95.000000
35,0.000000,242481.582012,389533.346473,6249.000000,1.000000,75.000000
36,0.000000,174082.246514,350924.617646,6437.000000,1.000000,82.000000
37,0.000000,162605.705009,335765.555484,6617.000000,1.000000,74.000000
38,0.000000,51546.753730,322017.014334,6777.000000,1.000000,68.000000
39,0.000000,153588555.243217,1634742.462885,6960.000000,1.000000,77.000000
40,0.000000,47399.474328,321794.059600,7125.000000,1.000000,73.000000
41,0.000000,43079.635922,321690.970101,7286.000000,0.000000,69.000000
42,0.000000,222571.706393,321548.356125,7477.000000,0.000000,93.000000
43,0.000000,38051.602861,320496.773697,7654.000000,1.000000,70.000000
44,0.000000,19134.172585,320448.673935,7823.000000,0.000000,78.000000
45,0.000000,20994.377721,320419.453413,7997.000000,1.000000,74.000000
46,0.000000,603305.837660,320240.972192,8160.000000,0.000000,72.000000
47,0.000000,1509877.574169,320157.835888,8336.000000,1.000000,77.000000
48,0.000000,70656.717481,319744.518381,8535.000000,1.000000,92.000000
49,0.000000,930032.977695,319266.916333,8695.000000,0.000000,70.000000
50,0.000000,955651.511053,318926.904276,8877.000000,1.000000,75.000000
51,0.000000,8078490.866941,360089.482702,9037.000000,0.000000,69.000000
52,0.000000,101145.457811,318778.142447,9223.000000,0.000000,94.000000
53,0.000000,72509.727383,318775.063882,9385.000000,0.000000,70.000000
54,0.000000,129584.201477,318772.759922,9566.000000,0.000000,75.000000
55,0.000000,304444.591919,318761.029799,9793.000000,0.000000,116.000000
56,0.000000,456071.017973,318738.245343,10068.000000,0.000000,107.000000
