Iteration,gradnorm,objective,time,two_loop_time,grad_time
1,52459410821781.921875,469062878789951553536.000000,0.000030,0.000001,0.000022
2,181556.807841,240735.029561,0.000093,0.000000,0.000022
3,177209.621327,229632.852885,0.000158,0.000000,0.000021
4,7981.637126,3644.548937,0.000229,0.000000,0.000021
5,4518.513758,2938.820043,0.000282,0.000001,0.000022
6,2254.043405,2480.855730,0.000398,0.000000,0.000021
7,2617.049672,2280.744596,0.000443,0.000000,0.000019
8,3844.746775,1484.756129,0.000488,0.000000,0.000021
9,2331.874186,1042.656989,0.000535,0.000001,0.000020
10,438111.750588,33710.544457,0.000580,0.000000,0.000020
11,581.208838,962.160487,0.000630,0.000000,0.000021
12,402.311485,958.925487,0.000677,0.000000,0.000020
13,420.999084,956.208605,0.000722,0.000001,0.000020
14,352.757345,953.900958,0.000767,0.000000,0.000017
15,453.400269,940.701292,0.000808,0.000000,0.000018
16,472.187177,930.322026,0.000854,0.000000,0.000021
17,89287.360681,2279.328061,0.000897,0.000001,0.000018
18,442.161544,925.061196,0.000940,0.000001,0.000018
19,386.151986,924.219486,0.000984,0.000001,0.000019
20,351.858548,920.354713,0.001030,0.000000,0.000021
21,582.205641,912.492891,0.001077,0.000000,0.000019
22,334.077230,905.107567,0.001120,0.000000,0.000019
23,578.306037,896.350239,0.001164,0.000000,0.000018
24,1701.794149,869.560121,0.001302,0.000001,0.000039
25,70552.663503,1708.534366,0.001459,0.000002,0.000041
26,1693.478425,845.905680,0.001547,0.000001,0.000019
27,1358.217286,837.872149,0.001593,0.000000,0.000019
28,918.556101,819.675389,0.001732,0.000000,0.000110
29,310.140698,804.426352,0.001847,0.000001,0.000038
30,539.289124,804.938630,0.001957,0.000000,0.000019
31,4375.217794,812.573553,0.002004,0.000000,0.000018
32,12106.697918,824.363193,0.002045,0.000000,0.000019
33,305.864664,797.075897,0.002090,0.000000,0.000018
34,312.715783,797.034166,0.002144,0.000001,0.000024
35,4114.534071,825.733497,0.002189,0.000001,0.000017
36,229.813604,795.884408,0.002233,0.000000,0.000018
37,212.317333,795.568352,0.002273,0.000001,0.000018
38,571.286163,792.324328,0.002321,0.000000,0.000022
39,14598.089878,831.010279,0.002364,0.000000,0.000019
40,425.714046,790.613782,0.002406,0.000000,0.000018
41,442.576214,789.915639,0.002456,0.000000,0.000022
42,423.944308,785.750795,0.002504,0.000001,0.000020
43,1394.386333,791.202662,0.002549,0.000000,0.000020
44,83.322699,785.539409,0.002591,0.000000,0.000019
45,80.123158,785.498751,0.002632,0.000000,0.000018
46,2803.362665,785.992146,0.002673,0.000000,0.000019
47,189.565447,784.747991,0.002789,0.000002,0.000043
48,171.787398,784.705120,0.002907,0.000001,0.000038
49,234.980560,787.141474,0.003015,0.000000,0.000039
50,5601.603816,1076.990850,0.003128,0.000001,0.000042
51,84.617382,783.974750,0.003216,0.000001,0.000019
52,82.369328,783.833893,0.003262,0.000001,0.000018
53,97111.484262,2393.014560,0.003320,0.000000,0.000019
54,235.064722,780.830409,0.003370,0.000001,0.000021
55,225.736978,780.811085,0.003412,0.000001,0.000018
56,197.020694,779.887584,0.003454,0.000001,0.000018
57,323.870928,779.005315,0.003501,0.000001,0.000021
58,394.156589,777.702189,0.003554,0.000001,0.000018
59,177.107556,776.849647,0.003609,0.000000,0.000019
60,1556.891345,776.767885,0.003658,0.000001,0.000021
61,216.657756,776.310758,0.003730,0.000000,0.000018
62,210.076197,776.244499,0.003795,0.000000,0.000019
63,640.218358,776.083712,0.003848,0.000000,0.000019
64,412.488934,771.328295,0.003904,0.000001,0.000018
65,847.276056,764.663693,0.003952,0.000000,0.000022
66,715.877036,759.128810,0.003999,0.000001,0.000019
67,6235.066148,762.260065,0.004079,0.000001,0.000019
68,1151.790876,756.519209,0.004123,0.000001,0.000018
69,494.411113,756.044041,0.004166,0.000000,0.000019
70,257.894655,755.684484,0.004210,0.000000,0.000019
71,537.528944,755.398340,0.004253,0.000000,0.000018
72,1063.364835,754.489746,0.004314,0.000001,0.000035
73,1301.418913,753.282630,0.004359,0.000000,0.000018
74,345.741070,751.758848,0.004403,0.000000,0.000019
75,434.803461,750.918438,0.004452,0.000000,0.000024
76,2053.556578,747.567031,0.004506,0.000000,0.000019
77,1146.889199,743.836560,0.004549,0.000000,0.000018
78,1302.112501,741.675447,0.004610,0.000000,0.000019
79,32131.031838,1009.722655,0.004652,0.000000,0.000018
80,894.477943,740.004331,0.004723,0.000000,0.000046
81,767.422438,739.556757,0.004776,0.000001,0.000019
82,948.606509,738.254426,0.004822,0.000000,0.000019
83,297.240444,737.724485,0.004871,0.000000,0.000021
84,241.773637,737.482689,0.004915,0.000000,0.000019
85,161.622885,736.709309,0.004963,0.000001,0.000021
86,459.513410,736.375480,0.005006,0.000001,0.000019
87,650.379294,735.130919,0.005050,0.000001,0.000019
88,2440.572968,735.455840,0.005098,0.000000,0.000022
89,616.851994,733.279588,0.005148,0.000001,0.000022
90,409.146025,733.133176,0.005195,0.000000,0.000018
91,137.418506,732.987051,0.005240,0.000000,0.000020
92,131.052655,732.927381,0.005411,0.000002,0.000039
93,133.576521,732.865982,0.005518,0.000000,0.000018
94,94.887034,732.686543,0.005564,0.000000,0.000018
95,3566.729571,735.424081,0.005606,0.000001,0.000018
96,179.745854,732.373658,0.005750,0.000000,0.000086
97,158.062810,732.321955,0.005905,0.000002,0.000040
98,235.267614,732.103149,0.006032,0.000001,0.000051
99,324.387497,731.924071,0.006093,0.000001,0.000018
100,205.933851,731.591120,0.006137,0.000001,0.000018
101,190.085681,731.392626,0.006180,0.000000,0.000019
102,18955.422353,811.655384,0.006221,0.000000,0.000018
103,211.683989,731.250613,0.006263,0.000000,0.000018
104,171.762025,731.235352,0.006307,0.000000,0.000018
105,149.948181,731.129638,0.006351,0.000000,0.000018
106,249.219989,731.063796,0.006391,0.000001,0.000016
107,337.080842,730.909197,0.006431,0.000000,0.000017
108,294.412409,730.600693,0.006487,0.000000,0.000018
109,15192.758189,782.317473,0.006531,0.000000,0.000017
110,201.856436,730.298855,0.006577,0.000000,0.000021
111,242.111199,730.211425,0.006618,0.000001,0.000017
112,1404.845489,730.823148,0.006663,0.000000,0.000018
113,223.222421,729.524695,0.006707,0.000000,0.000018
114,197.180482,729.448301,0.006755,0.000000,0.000022
115,202.682863,728.826312,0.006801,0.000000,0.000021
116,1664.178827,729.162900,0.006858,0.000000,0.000020
117,189.349047,728.661938,0.006904,0.000000,0.000020
118,98.919032,728.646119,0.006947,0.000000,0.000017
119,102.114694,728.632405,0.006991,0.000000,0.000019
120,131.495229,728.615277,0.007036,0.000000,0.000020
121,139.783314,728.552735,0.007083,0.000001,0.000020
122,199.060073,728.388372,0.007129,0.000000,0.000020
123,2589.035528,728.973611,0.007174,0.000000,0.000020
124,442.186285,727.492552,0.007220,0.000001,0.000020
125,230.110915,727.070142,0.007349,0.000002,0.000030
126,594.469047,725.662957,0.007406,0.000001,0.000019
127,250.388611,724.848993,0.007451,0.000000,0.000020
128,526.634208,725.040757,0.007492,0.000000,0.000018
129,730.065129,724.178621,0.007533,0.000000,0.000018
130,19549.543167,796.337060,0.007575,0.000000,0.000018
131,208.862245,723.917432,0.007619,0.000000,0.000019
132,223.542503,723.831403,0.007662,0.000000,0.000020
133,1870.466298,722.597531,0.007706,0.000001,0.000019
