Iteration,t_k,gradnorm,objective,time
144,0.000000,2674.797404,42.254301,0.456880
145,0.000000,20.004567,4.596766,0.460008
146,0.000000,14.257335,4.594012,0.463109
147,0.000000,1.747249,4.591332,0.466248
148,0.000000,1.757450,4.591241,0.469404
149,0.000000,12.966387,4.582366,0.472565
150,0.000000,19.475778,4.572105,0.475703
151,0.000000,18.205903,4.557556,0.478834
152,0.000000,47.756095,4.548265,0.482065
153,0.000000,11.928676,4.534294,0.485153
154,0.000000,4.254271,4.531121,0.488182
155,0.000000,2.443021,4.528886,0.491220
156,0.000000,3.673478,4.528836,0.494423
157,0.000000,3.493291,4.523210,0.497509
158,0.000000,180.614674,4.726316,0.500527
159,0.000000,2.300795,4.521116,0.503892
160,0.000000,1.185875,4.520851,0.507169
161,0.000000,1.335782,4.520711,0.510412
162,0.000000,2.829278,4.520348,0.513721
163,0.000000,4.937997,4.519815,0.517095
164,0.000000,6.943031,4.519027,0.520366
165,0.000000,2.813374,4.517959,0.523462
166,0.000000,7.129114,4.518290,0.526515
167,0.000000,2.224169,4.518218,0.529942
168,0.000000,1.868728,4.518341,0.533234
169,0.000000,3.180198,4.516714,0.536302
170,0.000000,4.198746,4.511540,0.539320
171,0.000000,7.499431,4.499232,0.542768
172,0.000000,1.199667,4.490729,0.545989
173,0.000000,28.495136,4.491810,0.549124
174,0.000000,1.054618,4.488511,0.552154
175,0.000000,1.085166,4.488617,0.555614
176,0.000000,0.970419,4.488391,0.558760
177,0.000000,13.419671,4.504970,0.561850
178,0.000000,2.239459,4.485605,0.564911
179,0.000000,1.009056,4.483435,0.568490
180,0.000000,65.483537,4.482213,0.571682
181,0.000000,0.958628,4.466041,0.574803
182,0.000000,1.172461,4.465709,0.577823
183,0.000000,2.965262,4.463678,0.581484
184,0.000000,2.418871,4.462796,0.584680
185,0.000000,1.178408,4.457624,0.587783
186,0.000000,2.864937,4.449987,0.590820
187,0.000000,63.490684,4.459957,0.594235
188,0.000000,1.019287,4.442207,0.597398
189,0.000000,1.678812,4.441699,0.600471
190,0.000000,1.058971,4.441056,0.603490
191,0.000000,1.403573,4.439467,0.606786
192,0.000000,35.321194,4.478728,0.609908
193,0.000000,3.615310,4.434152,0.612998
194,0.000000,16.953645,4.434378,0.616018
195,0.000000,3.540770,4.432515,0.619318
196,0.000000,1.006827,4.432076,0.622440
197,0.000000,0.962816,4.431887,0.625553
198,0.000000,30.469022,4.433621,0.628601
199,0.000000,6.755580,4.430839,0.631810
200,0.000000,4.891260,4.430581,0.634985
201,0.000000,1.496755,4.429752,0.638098
202,0.000000,1.661809,4.429713,0.641225
203,0.000000,2.346857,4.429464,0.644526
204,0.000000,1.165793,4.429113,0.647676
205,0.000000,1.898009,4.427955,0.650856
206,0.000000,36.391740,4.431626,0.653916
207,0.000000,5.952555,4.427067,0.657487
208,0.000000,3.922690,4.426622,0.661009
209,0.000000,0.822546,4.425450,0.664163
210,0.000000,1.169023,4.425284,0.667220
211,0.000000,1.197259,4.424784,0.670443
212,0.000000,301.080220,5.368177,0.673836
213,0.000000,3.322585,4.419223,0.677110
214,0.000000,2.450503,4.416986,0.680157
215,0.000000,53.986520,4.425221,0.683353
216,0.000000,2.667181,4.403499,0.686930
217,0.000000,0.759236,4.404123,0.690176
218,0.000000,1.004866,4.404086,0.693253
219,0.000000,2.854880,4.403603,0.696485
220,0.000000,0.659855,4.403549,0.699786
221,0.000000,0.542942,4.403413,0.702879
222,0.000000,1.378137,4.402844,0.705913
223,0.000000,0.587740,4.402594,0.709311
224,0.000000,1.315403,4.402281,0.712634
225,0.000000,3.067913,4.401403,0.715722
226,0.000000,3.325167,4.399936,0.718802
227,0.000000,415.427466,5.409048,0.722055
228,0.000000,4.855736,4.398055,0.725566
229,0.000000,3.606446,4.397632,0.728816
230,0.000000,1.088488,4.396472,0.731846
231,0.000000,0.448455,4.396669,0.735018
232,0.000000,0.506264,4.396673,0.738257
233,0.000000,2.169383,4.396597,0.741436
234,0.000000,1.922139,4.396487,0.744581
235,0.000000,446.609451,5.408062,0.747968
236,0.000000,3.756332,4.395588,0.751332
237,0.000000,2.902986,4.395222,0.754625
238,0.000000,0.471828,4.394109,0.757907
239,0.000000,0.449855,4.394093,0.761299
240,0.000000,0.453665,4.393083,0.764450
241,0.000000,12.035545,4.387586,0.767589
242,0.000000,2.654750,4.388474,0.770624
243,0.000000,0.633599,4.387863,0.773857
244,0.000000,1.110057,4.387363,0.777089
245,0.000000,16.027848,4.384706,0.780312
246,0.000000,0.770319,4.386390,0.783368
247,0.000000,0.457517,4.386301,0.786475
248,0.000000,2.509059,4.385321,0.789843
249,0.000000,3.253059,4.385100,0.793038
250,0.000000,1.899437,4.384956,0.796099
251,0.000000,0.779403,4.384405,0.799127
252,0.000000,0.463949,4.384395,0.802408
253,0.000000,1.509473,4.384350,0.805579
254,0.000000,1.280940,4.384357,0.808623
255,0.000000,0.826450,4.384464,0.811730
256,0.000000,6.974615,4.381791,0.814796
257,0.000000,1.463758,4.383205,0.817943
258,0.000000,0.640691,4.383103,0.821022
259,0.000000,13.448779,4.380066,0.824082
260,0.000000,4.543602,4.379692,0.827158
261,0.000000,1.347490,4.378275,0.830325
262,0.000000,0.417983,4.376333,0.833381
263,0.000000,0.321166,4.376044,0.836447
264,0.000000,0.326890,4.375842,0.839584
265,0.000000,1.877087,4.371547,0.842841
266,0.000000,130.299633,4.475085,0.845912
267,0.000000,1.185106,4.372173,0.849025
268,0.000000,0.966757,4.372251,0.852266
269,0.000000,0.541641,4.372522,0.855446
270,0.000000,8.842565,4.374501,0.858591
271,0.000000,0.632332,4.372597,0.861866
272,0.000000,0.579045,4.372581,0.865204
273,0.000000,1.165543,4.372219,0.868443
274,0.000000,77.217008,4.411422,0.871544
275,0.000000,0.343791,4.372301,0.874603
276,0.000000,0.333207,4.372304,0.877919
277,0.000000,1.798627,4.372477,0.881463
278,0.000000,2.965956,4.372582,0.884628
279,0.000000,5.497546,4.372860,0.887654
280,0.000000,6.330159,4.373093,0.890946
281,0.000000,27.082434,4.380067,0.894064
282,0.000000,2.963343,4.373247,0.897158
283,0.000000,2.465243,4.372967,0.900185
284,0.000000,0.548379,4.372666,0.903314
285,0.000000,1.008208,4.372626,0.906729
286,0.000000,2.076489,4.372654,0.909921
287,0.000000,3.388657,4.372871,0.912974
288,0.000000,1.783050,4.373386,0.916061
289,0.000000,24.466167,4.379427,0.919344
290,0.000000,2.574586,4.374374,0.922460
291,0.000000,1.131036,4.374415,0.925496
292,0.000000,0.858166,4.374617,0.928588
293,0.000000,1.102820,4.374581,0.931752
294,0.000000,3.109899,4.374104,0.934861
295,0.000000,3.453640,4.373656,0.937914
296,0.000000,120.646321,4.438186,0.940987
297,0.000000,4.031439,4.372735,0.944101
298,0.000000,2.544705,4.372523,0.947273
299,0.000000,1.056832,4.372322,0.950352
300,0.000000,1.266855,4.372428,0.953377
301,0.000000,0.885093,4.373307,0.956661
302,0.000000,0.653155,4.373294,0.959795
303,0.000000,75.978120,4.405725,0.962907
304,0.000000,0.704350,4.372929,0.965941
305,0.000000,0.540139,4.372672,0.969217
306,0.000000,1.255401,4.372788,0.972506
307,0.000000,1.214616,4.372441,0.975609
308,0.000000,5.533800,4.371559,0.978656
309,0.000000,1.566494,4.370909,0.981952
310,0.000000,1.434261,4.370771,0.985499
311,0.000000,1.911968,4.370745,0.988731
312,0.000000,0.901968,4.370576,0.991878
313,0.000000,1.792525,4.370644,0.995199
314,0.000000,15.158345,4.370949,0.998318
315,0.000000,1.156034,4.370441,1.001692
316,0.000000,0.949496,4.370359,1.005150
317,0.000000,5.000801,4.368863,1.008666
318,0.000000,0.384671,4.369584,1.012675
319,0.000000,0.304793,4.369567,1.016016
320,0.000000,1.110481,4.369343,1.019222
321,0.000000,1.162341,4.369271,1.022434
322,0.000000,2.633708,4.369626,1.025791
323,0.000000,2.518673,4.368950,1.028951
324,0.000000,263.309149,5.120940,1.032028
325,0.000000,0.521737,4.367792,1.035491
326,0.000000,1.262960,4.367234,1.038898
327,0.000000,7.456334,4.365663,1.042032
328,0.000000,2.730487,4.365247,1.045164
329,0.000000,0.415709,4.365436,1.048680
330,0.000000,0.302990,4.365449,1.051874
331,0.000000,0.522013,4.365385,1.054979
332,0.000000,0.968772,4.365375,1.058033
333,0.000000,0.509569,4.365197,1.061278
334,0.000000,1.377785,4.365421,1.064491
335,0.000000,0.367021,4.365293,1.067537
336,0.000000,0.893565,4.365225,1.070565
337,0.000000,2.307410,4.365008,1.073737
338,0.000000,3.879499,4.364592,1.076941
339,0.000000,5.157523,4.363819,1.080023
340,0.000000,3.129385,4.362675,1.083042
341,0.000000,3.982737,4.362071,1.086261
342,0.000000,14.838717,4.362831,1.089497
343,0.000000,0.297718,4.362178,1.092604
344,0.000000,0.276048,4.362235,1.095624
345,0.000000,0.429505,4.362177,1.098970
346,0.000000,2.521118,4.361050,1.102252
347,0.000000,2.315605,4.359862,1.105394
348,0.000000,0.528509,4.360069,1.108434
349,0.000000,5.260654,4.359483,1.111818
350,0.000000,14.099075,4.358824,1.115200
351,0.000000,0.340344,4.358859,1.118394
352,0.000000,0.276047,4.358840,1.121480
353,0.000000,0.279666,4.358687,1.124823
354,0.000000,0.378670,4.358663,1.128152
355,0.000000,1.339723,4.358505,1.131278
356,0.000000,1.780316,4.358476,1.134319
357,0.000000,2.977342,4.358118,1.137657
358,0.000000,0.635985,4.358583,1.141148
359,0.000000,0.444065,4.358685,1.144381
360,0.000000,0.333819,4.358836,1.147409
361,0.000000,2.646702,4.358870,1.150767
362,0.000000,0.660716,4.358832,1.153951
363,0.000000,0.503156,4.358825,1.157117
364,0.000000,0.557857,4.358785,1.160291
365,0.000000,0.403061,4.358798,1.163716
366,0.000000,0.157572,4.358851,1.166986
367,0.000000,0.180212,4.358826,1.170123
368,0.000000,6.440202,4.358901,1.173196
369,0.000000,0.805465,4.358590,1.176512
370,0.000000,0.433399,4.358454,1.179880
371,0.000000,1.971147,4.358127,1.183098
372,0.000000,1.362322,4.358027,1.186209
373,0.000000,0.359565,4.357977,1.189385
374,0.000000,0.154796,4.357959,1.192461
375,0.000000,0.575316,4.357920,1.195607
376,0.000000,0.816537,4.357862,1.198672
377,0.000000,0.746334,4.357742,1.201695
378,0.000000,0.962374,4.357704,1.204763
