Iteration,t_k,gradnorm,objective,time,grad_time,prox_time
0,0.000000,256529688.409075,415916970.875054,20.000000,15.000000,1.000000
1,0.000000,693248.146655,427813.650152,82.000000,17.000000,0.000000
2,0.000000,647199.774747,421947.436462,124.000000,15.000000,0.000000
3,0.000000,605011.162745,416831.449843,163.000000,17.000000,0.000000
4,0.000000,566403.826845,412357.621316,205.000000,17.000000,0.000000
5,0.000000,531125.737106,408433.532896,249.000000,22.000000,0.000000
6,0.000000,498942.163534,404980.104075,289.000000,17.000000,1.000000
7,0.000000,469633.934206,401929.666872,328.000000,17.000000,0.000000
8,0.000000,442995.817041,399224.318700,367.000000,17.000000,0.000000
9,0.000000,418835.038175,396814.512965,407.000000,18.000000,0.000000
10,0.000000,396969.952858,394657.853074,446.000000,17.000000,0.000000
11,0.000000,377228.885854,392718.060503,485.000000,17.000000,0.000000
12,0.000000,359449.156539,390964.091800,524.000000,17.000000,1.000000
13,0.000000,343476.299086,389369.383024,564.000000,17.000000,1.000000
14,0.000000,329163.480262,387911.203240,603.000000,17.000000,1.000000
15,0.000000,316371.107171,386570.101313,639.000000,14.000000,1.000000
16,0.000000,304966.606108,385329.432551,679.000000,17.000000,0.000000
17,0.000000,294824.343082,384174.953664,716.000000,15.000000,0.000000
18,0.000000,285825.648331,383094.476178,755.000000,17.000000,1.000000
19,0.000000,277858.902649,382077.569879,794.000000,17.000000,0.000000
20,0.000000,270819.643151,381115.309045,833.000000,17.000000,1.000000
21,0.000000,264610.650312,380200.055319,873.000000,17.000000,1.000000
22,0.000000,259141.985602,379325.271907,913.000000,18.000000,0.000000
23,0.000000,254330.958720,378485.364595,954.000000,17.000000,1.000000
24,0.000000,250102.013565,377675.545717,993.000000,17.000000,1.000000
25,0.000000,246386.531499,376891.717751,1033.000000,17.000000,0.000000
26,0.000000,243122.558100,376130.373713,1072.000000,17.000000,1.000000
27,0.000000,240254.465041,375388.511935,1113.000000,17.000000,0.000000
28,0.000000,237732.561847,374663.563134,1152.000000,17.000000,1.000000
29,0.000000,235512.673397,373953.328012,1191.000000,17.000000,1.000000
30,0.000000,233555.698530,373255.923863,1231.000000,17.000000,0.000000
31,0.000000,231827.163528,372569.738878,1270.000000,17.000000,0.000000
32,0.000000,230296.782039,371893.393058,1309.000000,17.000000,0.000000
33,0.000000,228938.030526,371225.704754,1348.000000,17.000000,1.000000
34,0.000000,227727.745946,370565.662050,1388.000000,18.000000,0.000000
35,0.000000,226645.750132,369912.398264,1426.000000,17.000000,0.000000
36,0.000000,225674.503495,369265.170991,1467.000000,17.000000,0.000000
37,0.000000,224798.789163,368623.344173,1507.000000,17.000000,1.000000
38,0.000000,224005.427462,367986.372752,1546.000000,17.000000,1.000000
39,0.000000,223283.019813,367353.789537,1586.000000,18.000000,0.000000
40,0.000000,222621.720531,366725.193972,1633.000000,17.000000,0.000000
41,0.000000,222013.034616,366100.242523,1673.000000,17.000000,0.000000
42,0.000000,221449.639434,365478.640447,1713.000000,17.000000,0.000000
43,0.000000,220925.228115,364860.134759,1752.000000,17.000000,0.000000
44,0.000000,220434.372514,364244.508204,1792.000000,17.000000,1.000000
45,0.000000,219972.403628,363631.574105,1831.000000,17.000000,0.000000
46,0.000000,219535.307544,363021.171954,1871.000000,17.000000,0.000000
47,0.000000,219119.635077,362413.163637,1910.000000,17.000000,1.000000
48,0.000000,218722.423462,361807.430205,1949.000000,17.000000,1.000000
49,0.000000,218341.128592,361203.869112,1988.000000,17.000000,0.000000
50,0.000000,217973.566470,360602.391851,2028.000000,17.000000,1.000000
51,0.000000,217617.862676,360002.921930,2067.000000,17.000000,0.000000
52,0.000000,217272.408805,359405.393141,2107.000000,18.000000,0.000000
53,0.000000,216935.824938,358809.748080,2146.000000,17.000000,1.000000
54,0.000000,216606.927343,358215.936879,2186.000000,18.000000,0.000000
55,0.000000,216284.700693,357623.916120,2225.000000,18.000000,0.000000
56,0.000000,215968.274173,357033.647910,2265.000000,18.000000,1.000000
57,0.000000,215656.900961,356445.099083,2320.000000,20.000000,0.000000
58,0.000000,215349.940595,355858.240524,2383.000000,22.000000,1.000000
