Iteration,t_k,gradnorm,objective,time,two_loop_time,grad_time
71,0.000000,130.060918,783.021944,3222.000000,1.000000,18.000000
72,0.000000,187.921265,782.792551,3270.000000,1.000000,18.000000
73,0.000000,400.697317,781.438885,3314.000000,0.000000,17.000000
74,0.000000,476.874576,781.165326,3360.000000,1.000000,18.000000
75,0.000000,14033.886397,816.932862,3406.000000,0.000000,19.000000
76,0.000000,137.143285,781.082079,3451.000000,0.000000,18.000000
77,0.000000,126.900704,781.061745,3497.000000,1.000000,18.000000
78,0.000000,96.966238,780.838095,3542.000000,0.000000,18.000000
79,0.000000,239.720508,780.273705,3588.000000,0.000000,18.000000
80,0.000000,295.971171,779.404493,3634.000000,1.000000,19.000000
81,0.000000,514.861709,777.534591,3680.000000,1.000000,19.000000
82,0.000000,19287.658125,842.219505,3725.000000,0.000000,18.000000
83,0.000000,243.680521,776.557159,3771.000000,0.000000,18.000000
84,0.000000,183.029111,776.254953,3818.000000,1.000000,18.000000
85,0.000000,65.703915,775.922602,3864.000000,1.000000,18.000000
86,0.000000,79.928889,775.844144,3911.000000,0.000000,18.000000
87,0.000000,191.255603,775.408329,3957.000000,0.000000,18.000000
88,0.000000,344.794687,774.537912,4002.000000,1.000000,18.000000
89,0.000000,2588.939857,773.208914,4047.000000,0.000000,18.000000
90,0.000000,1181.526740,769.942130,4092.000000,0.000000,18.000000
91,0.000000,1417.126478,762.744897,4138.000000,0.000000,18.000000
92,0.000000,2545.736063,752.432895,4179.000000,0.000000,17.000000
93,0.000000,1455.019334,747.898039,4225.000000,0.000000,17.000000
94,0.000000,290.125821,746.629547,4270.000000,0.000000,18.000000
95,0.000000,605.489550,746.232718,4314.000000,0.000000,20.000000
96,0.000000,572.514844,745.902881,4359.000000,0.000000,16.000000
97,0.000000,5163.955503,749.661963,4404.000000,1.000000,18.000000
98,0.000000,944.523915,744.923258,4450.000000,0.000000,17.000000
99,0.000000,508.513368,744.443037,4496.000000,1.000000,19.000000
100,0.000000,1477.948518,742.650423,4541.000000,0.000000,18.000000
101,0.000000,1771.433958,741.880199,4587.000000,1.000000,18.000000
102,0.000000,2479.465104,737.512250,4632.000000,0.000000,18.000000
103,0.000000,2660.575442,733.373535,4678.000000,0.000000,17.000000
104,0.000000,37460.835972,985.418594,4723.000000,0.000000,18.000000
105,0.000000,1237.057515,726.302105,4767.000000,1.000000,18.000000
106,0.000000,1221.158894,724.640651,4811.000000,0.000000,19.000000
107,0.000000,3169.661854,713.767315,4857.000000,0.000000,18.000000
108,0.000000,185.627681,702.390121,4898.000000,0.000000,18.000000
109,0.000000,155.548653,702.280013,4942.000000,1.000000,18.000000
110,0.000000,115.346335,702.006793,4987.000000,0.000000,18.000000
111,0.000000,4349.294258,705.800115,5033.000000,0.000000,19.000000
112,0.000000,69.365408,701.969813,5078.000000,0.000000,18.000000
113,0.000000,68.715094,701.967490,5125.000000,0.000000,18.000000
114,0.000000,514.412281,702.095153,5170.000000,1.000000,18.000000
115,0.000000,118.221800,701.904641,5216.000000,0.000000,18.000000
116,0.000000,87.563585,701.874161,5261.000000,1.000000,17.000000
117,0.000000,175.831995,701.563371,5303.000000,1.000000,18.000000
118,0.000000,1289.514128,701.543094,5346.000000,0.000000,19.000000
119,0.000000,433.390737,701.275434,5391.000000,1.000000,18.000000
120,0.000000,144.837340,701.193360,5436.000000,1.000000,18.000000
121,0.000000,156.441108,701.157244,5482.000000,0.000000,19.000000
122,0.000000,162.980241,701.100617,5526.000000,1.000000,18.000000
123,0.000000,129.163886,700.912460,5570.000000,1.000000,18.000000
124,0.000000,136.983370,700.847829,5615.000000,0.000000,18.000000
125,0.000000,5579.686757,707.789004,5663.000000,0.000000,18.000000
126,0.000000,169.971993,700.789597,5705.000000,1.000000,18.000000
127,0.000000,121.874738,700.773598,5749.000000,1.000000,18.000000
128,0.000000,85.188198,700.746339,5795.000000,0.000000,19.000000
129,0.000000,75.194764,700.724772,5837.000000,0.000000,18.000000
130,0.000000,499.448055,700.913577,5883.000000,0.000000,18.000000
131,0.000000,76.162880,700.650924,5925.000000,1.000000,18.000000
132,0.000000,27.838284,700.643725,5970.000000,0.000000,19.000000
133,0.000000,36.378544,700.637724,6015.000000,0.000000,18.000000
134,0.000000,1616.504950,701.193251,6061.000000,1.000000,18.000000
135,0.000000,93.126400,700.631011,6106.000000,0.000000,18.000000
136,0.000000,82.082814,700.627698,6152.000000,1.000000,18.000000
137,0.000000,72.053917,700.595888,6194.000000,1.000000,18.000000
138,0.000000,50.671170,700.585882,6237.000000,0.000000,18.000000
139,0.000000,36.571587,700.559528,6283.000000,0.000000,18.000000
140,0.000000,57.410544,700.514957,6328.000000,1.000000,18.000000
141,0.000000,108.030192,700.395594,6374.000000,0.000000,18.000000
142,0.000000,3717.410199,702.713205,6418.000000,1.000000,17.000000
143,0.000000,315.739856,700.198429,6463.000000,0.000000,18.000000
144,0.000000,231.987714,700.087217,6509.000000,0.000000,18.000000
145,0.000000,155.271964,699.578417,6556.000000,0.000000,18.000000
146,0.000000,290.488076,699.341844,6603.000000,1.000000,19.000000
147,0.000000,454.019075,699.246898,6648.000000,0.000000,18.000000
148,0.000000,164.689964,698.803758,6694.000000,0.000000,17.000000
149,0.000000,243.211873,698.661497,6740.000000,0.000000,19.000000
