Iteration,t_k,gradnorm,objective,time,grad_time,prox_time
0,0.000000,32416351143.096054,58387300453.600296,116.000000,113.000000,0.000000
1,0.000000,1664656.578608,2759571.537577,290.000000,72.000000,0.000000
2,0.000000,1664430.527803,2759263.626061,447.000000,71.000000,0.000000
3,0.000000,1664156.103650,2758869.048898,636.000000,105.000000,0.000000
4,0.000000,1663834.110450,2758390.075803,801.000000,82.000000,0.000000
5,0.000000,1663465.111268,2757828.135303,973.000000,88.000000,0.000000
6,0.000000,1663049.530297,2757184.238500,1126.000000,70.000000,0.000000
7,0.000000,1662587.704488,2756459.157954,1314.000000,105.000000,0.000000
8,0.000000,1662079.912664,2755653.517803,1502.000000,106.000000,0.000000
9,0.000000,1661526.393287,2754767.844561,1691.000000,106.000000,0.000000
10,0.000000,1660927.355951,2753802.598085,1880.000000,106.000000,0.000000
11,0.000000,1660282.989156,2752758.191600,2059.000000,89.000000,0.000000
12,0.000000,1659593.465778,2751635.005243,2230.000000,88.000000,0.000000
13,0.000000,1658858.947018,2750433.395565,2419.000000,105.000000,0.000000
14,0.000000,1658079.585343,2749153.702398,2590.000000,88.000000,1.000000
15,0.000000,1657255.526703,2747796.253941,2761.000000,88.000000,0.000000
16,0.000000,1656386.912255,2746361.370605,2950.000000,105.000000,0.000000
17,0.000000,1655473.879707,2744849.367972,3168.000000,112.000000,1.000000
18,0.000000,1654516.564391,2743260.559105,3322.000000,70.000000,1.000000
19,0.000000,1653515.100122,2741595.256380,3504.000000,100.000000,0.000000
20,0.000000,1652469.619905,2739853.772947,3693.000000,105.000000,0.000000
21,0.000000,1651380.256508,2738036.423912,3865.000000,88.000000,0.000000
22,0.000000,1650247.142943,2736143.527300,4036.000000,88.000000,1.000000
23,0.000000,1649070.412861,2734175.404841,4224.000000,105.000000,0.000000
24,0.000000,1647850.200892,2732132.382623,4412.000000,105.000000,0.000000
25,0.000000,1646586.642926,2730014.791622,4601.000000,106.000000,0.000000
26,0.000000,1645279.876356,2727822.968153,4796.000000,104.000000,0.000000
27,0.000000,1643930.040282,2725557.254236,4967.000000,89.000000,0.000000
28,0.000000,1642537.275691,2723217.997906,5120.000000,70.000000,1.000000
29,0.000000,1641101.725605,2720805.553463,5291.000000,88.000000,0.000000
30,0.000000,1639623.535218,2718320.281684,5462.000000,89.000000,0.000000
31,0.000000,1638102.852007,2715762.549997,5633.000000,89.000000,0.000000
32,0.000000,1636539.825828,2713132.732618,5805.000000,88.000000,0.000000
33,0.000000,1634934.609009,2710431.210668,5985.000000,96.000000,0.000000
34,0.000000,1633287.356418,2707658.372257,6157.000000,89.000000,0.000000
35,0.000000,1631598.225533,2704814.612553,6343.000000,102.000000,1.000000
36,0.000000,1629867.376494,2701900.333835,6523.000000,97.000000,0.000000
37,0.000000,1628094.972158,2698915.945524,6712.000000,105.000000,0.000000
38,0.000000,1626281.178134,2695861.864199,6921.000000,110.000000,0.000000
39,0.000000,1624426.162829,2692738.513612,7114.000000,88.000000,0.000000
40,0.000000,1622530.097473,2689546.324676,7288.000000,88.000000,0.000000
41,0.000000,1620593.156147,2686285.735455,7459.000000,89.000000,0.000000
42,0.000000,1618615.515811,2682957.191137,7631.000000,88.000000,0.000000
43,0.000000,1616597.356318,2679561.144005,7815.000000,89.000000,0.000000
44,0.000000,1614538.860433,2676098.053397,7987.000000,88.000000,0.000000
45,0.000000,1612440.213848,2672568.385659,8158.000000,88.000000,0.000000
46,0.000000,1610301.605190,2668972.614094,8346.000000,105.000000,0.000000
47,0.000000,1608123.226030,2665311.218902,8503.000000,74.000000,0.000000
48,0.000000,1605905.270890,2661584.687118,8667.000000,80.000000,0.000000
49,0.000000,1603647.937246,2657793.512545,8843.000000,90.000000,1.000000
50,0.000000,1601351.425533,2653938.195681,9003.000000,73.000000,0.000000
51,0.000000,1599015.939143,2650019.243639,9166.000000,76.000000,0.000000
52,0.000000,1596641.684423,2646037.170072,9325.000000,72.000000,0.000000
53,0.000000,1594228.870676,2641992.495084,9497.000000,88.000000,0.000000
54,0.000000,1591777.710157,2637885.745145,9699.000000,105.000000,0.000000
55,0.000000,1589288.418063,2633717.452999,9899.000000,117.000000,0.000000
56,0.000000,1586761.212535,2629488.157571,10095.000000,105.000000,1.000000
57,0.000000,1584196.314643,2625198.403872,10266.000000,88.000000,0.000000
58,0.000000,1581593.948382,2620848.742895,10438.000000,88.000000,0.000000
59,0.000000,1578954.340665,2616439.731520,10609.000000,89.000000,0.000000
60,0.000000,1576277.721306,2611971.932406,10781.000000,88.000000,0.000000
61,0.000000,1573564.323016,2607445.913884,10952.000000,89.000000,0.000000
62,0.000000,1570814.381387,2602862.249853,11144.000000,108.000000,0.000000
63,0.000000,1568028.134883,2598221.519667,11316.000000,88.000000,0.000000
64,0.000000,1565205.824824,2593524.308021,11487.000000,88.000000,0.000000
65,0.000000,1562347.695373,2588771.204844,11657.000000,87.000000,1.000000
66,0.000000,1559453.993522,2583962.805176,11845.000000,106.000000,0.000000
67,0.000000,1556524.969077,2579099.709058,12055.000000,105.000000,0.000000
68,0.000000,1553560.874644,2574182.521406,12246.000000,87.000000,0.000000
69,0.000000,1550561.965607,2569211.851898,12425.000000,89.000000,0.000000
70,0.000000,1547528.500119,2564188.314851,12597.000000,88.000000,0.000000
71,0.000000,1544460.739080,2559112.529095,12768.000000,88.000000,0.000000
72,0.000000,1541358.946118,2553985.117854,12939.000000,89.000000,0.000000
73,0.000000,1538223.387576,2548806.708619,13122.000000,99.000000,1.000000
74,0.000000,1535054.332489,2543577.933024,13323.000000,105.000000,0.000000
75,0.000000,1531852.052566,2538299.426715,13502.000000,89.000000,0.000000
76,0.000000,1528616.822172,2532971.829230,13673.000000,89.000000,0.000000
77,0.000000,1525348.918304,2527595.783863,13856.000000,99.000000,1.000000
78,0.000000,1522048.620575,2522171.937537,14044.000000,105.000000,1.000000
79,0.000000,1518716.211190,2516700.940677,14232.000000,105.000000,0.000000
80,0.000000,1515351.974928,2511183.447077,14404.000000,89.000000,0.000000
81,0.000000,1511956.199118,2505620.113767,14575.000000,89.000000,0.000000
