Iteration,t_k,gradnorm,objective,time,grad_time,prox_time
0,0.000000,256529688.409075,415916970.875054,15.000000,12.000000,0.000000
1,0.000000,693248.146655,427813.650152,38.000000,5.000000,0.000000
2,0.000000,634307.372942,421947.436462,56.000000,7.000000,0.000000
3,0.000000,570021.027163,415452.570519,72.000000,6.000000,0.000000
4,0.000000,503759.700313,408836.626425,87.000000,6.000000,0.000000
5,0.000000,438869.129225,402497.580135,103.000000,5.000000,0.000000
6,0.000000,378614.878219,396707.179244,119.000000,6.000000,1.000000
7,0.000000,326069.045896,391608.415497,134.000000,6.000000,0.000000
8,0.000000,283836.836013,387228.140505,152.000000,7.000000,1.000000
9,0.000000,253505.194364,383501.275617,167.000000,6.000000,0.000000
10,0.000000,234938.840391,380301.337386,185.000000,7.000000,1.000000
11,0.000000,226039.147525,377471.824698,202.000000,8.000000,0.000000
12,0.000000,223490.746892,374853.880629,219.000000,8.000000,0.000000
13,0.000000,224010.094577,372307.133983,237.000000,8.000000,0.000000
14,0.000000,225181.247865,369722.340698,255.000000,7.000000,0.000000
15,0.000000,225632.687888,367026.035033,273.000000,7.000000,1.000000
16,0.000000,224843.733088,364178.611505,292.000000,7.000000,1.000000
17,0.000000,222858.279953,361167.958785,310.000000,7.000000,0.000000
18,0.000000,220025.255339,358000.944378,326.000000,6.000000,0.000000
19,0.000000,216795.198577,354694.789845,343.000000,8.000000,0.000000
20,0.000000,213575.765616,351269.828051,360.000000,8.000000,0.000000
21,0.000000,210645.651011,347744.464325,378.000000,7.000000,0.000000
22,0.000000,208124.586520,344132.524755,395.000000,7.000000,0.000000
23,0.000000,205990.602468,340442.677651,412.000000,8.000000,0.000000
24,0.000000,204127.662262,336679.315782,430.000000,8.000000,0.000000
25,0.000000,202382.911442,332844.192147,447.000000,7.000000,1.000000
26,0.000000,200615.802435,328938.174511,464.000000,8.000000,0.000000
27,0.000000,198729.051127,324962.663725,481.000000,8.000000,0.000000
28,0.000000,196679.496071,320920.441551,498.000000,8.000000,0.000000
29,0.000000,194472.578310,316815.918202,514.000000,6.000000,0.000000
30,0.000000,192146.753234,312654.899320,531.000000,8.000000,0.000000
31,0.000000,189754.412627,308444.069933,548.000000,8.000000,0.000000
32,0.000000,187344.753190,304190.402305,566.000000,7.000000,1.000000
33,0.000000,184952.142422,299900.652777,583.000000,7.000000,0.000000
34,0.000000,182591.378330,295581.043748,600.000000,8.000000,0.000000
35,0.000000,180259.251360,291237.154453,616.000000,6.000000,0.000000
36,0.000000,177940.399904,286873.986235,631.000000,6.000000,0.000000
37,0.000000,175614.856195,282496.134398,647.000000,6.000000,0.000000
38,0.000000,173264.899143,278107.990992,664.000000,8.000000,0.000000
39,0.000000,170879.616131,273713.915872,681.000000,8.000000,0.000000
40,0.000000,168456.570835,269318.338496,698.000000,8.000000,0.000000
41,0.000000,166000.862087,264925.780750,716.000000,7.000000,0.000000
42,0.000000,163522.446395,260540.814016,733.000000,7.000000,1.000000
43,0.000000,161032.822756,256167.977330,750.000000,8.000000,0.000000
44,0.000000,158542.081196,251811.686727,767.000000,8.000000,0.000000
45,0.000000,156056.995045,247476.160621,785.000000,8.000000,0.000000
46,0.000000,153580.417046,243165.375759,802.000000,7.000000,1.000000
47,0.000000,151111.844577,238883.056831,817.000000,6.000000,0.000000
48,0.000000,148648.744147,234632.693409,834.000000,8.000000,0.000000
49,0.000000,146188.116326,230417.572454,850.000000,6.000000,0.000000
50,0.000000,143727.832947,226240.813573,867.000000,8.000000,0.000000
51,0.000000,141267.440689,222105.396739,884.000000,8.000000,0.000000
52,0.000000,138808.331979,218014.176831,902.000000,8.000000,0.000000
53,0.000000,136353.371781,213969.884286,919.000000,7.000000,1.000000
54,0.000000,133906.193156,209975.115168,936.000000,8.000000,0.000000
55,0.000000,131470.417342,206032.316075,953.000000,8.000000,0.000000
56,0.000000,129049.021501,202143.769556,969.000000,5.000000,0.000000
57,0.000000,126643.993073,198311.584318,986.000000,8.000000,0.000000
58,0.000000,124256.305757,194537.692350,1003.000000,8.000000,0.000000
59,0.000000,121886.159520,190823.852848,1022.000000,6.000000,0.000000
60,0.000000,119533.367951,187171.661082,1040.000000,8.000000,0.000000
61,0.000000,117197.759804,183582.559554,1057.000000,7.000000,0.000000
62,0.000000,114879.483885,180057.848829,1073.000000,6.000000,0.000000
63,0.000000,112579.153972,176598.696148,1090.000000,7.000000,0.000000
64,0.000000,110297.825637,173206.141031,1107.000000,7.000000,0.000000
65,0.000000,108036.843647,169881.098094,1124.000000,8.000000,0.000000
66,0.000000,105797.626156,166624.358040,1142.000000,8.000000,0.000000
67,0.000000,103581.456584,163436.588103,1159.000000,7.000000,1.000000
68,0.000000,101389.338995,160318.333129,1177.000000,8.000000,0.000000
69,0.000000,99221.945416,157270.018021,1195.000000,7.000000,1.000000
70,0.000000,97079.653592,154291.951811,1212.000000,7.000000,1.000000
71,0.000000,94962.649489,151384.333088,1227.000000,6.000000,0.000000
72,0.000000,92871.055820,148547.256437,1243.000000,5.000000,0.000000
73,0.000000,90805.048484,145780.718119,1260.000000,8.000000,0.000000
74,0.000000,88764.931540,143084.622585,1276.000000,6.000000,0.000000
75,0.000000,86751.159195,140458.787378,1292.000000,6.000000,0.000000
76,0.000000,84764.309034,137902.947351,1309.000000,7.000000,0.000000
77,0.000000,82805.023493,135416.758172,1326.000000,8.000000,0.000000
78,0.000000,80873.942308,132999.799407,1343.000000,8.000000,0.000000
79,0.000000,78971.647287,130651.577501,1360.000000,8.000000,0.000000
80,0.000000,77098.633758,128371.528892,1378.000000,7.000000,0.000000
81,0.000000,75255.313368,126159.023391,1395.000000,7.000000,0.000000
82,0.000000,73442.043543,124013.367816,1412.000000,7.000000,1.000000
83,0.000000,71659.172387,121933.809778,1431.000000,9.000000,0.000000
84,0.000000,69907.085385,119919.541433,1449.000000,7.000000,0.000000
85,0.000000,68186.241992,117969.703053,1466.000000,7.000000,1.000000
86,0.000000,66497.194863,116083.386306,1483.000000,7.000000,0.000000
87,0.000000,64840.590334,114259.637178,1500.000000,8.000000,0.000000
88,0.000000,63217.154070,112497.458582,1517.000000,8.000000,0.000000
89,0.000000,61627.669150,110795.812713,1535.000000,7.000000,0.000000
90,0.000000,60072.954640,109153.623252,1552.000000,7.000000,1.000000
91,0.000000,58553.851160,107569.777498,1569.000000,7.000000,0.000000
92,0.000000,57071.216815,106043.128492,1588.000000,7.000000,1.000000
93,0.000000,55625.933222,104572.497153,1605.000000,8.000000,0.000000
94,0.000000,54218.918382,103156.674417,1622.000000,8.000000,0.000000
95,0.000000,52851.141334,101794.423996,1639.000000,8.000000,0.000000
96,0.000000,51523.633723,100484.483175,1657.000000,7.000000,1.000000
97,0.000000,50237.494112,99225.564543,1674.000000,7.000000,0.000000
98,0.000000,48993.883535,98016.359360,1690.000000,6.000000,0.000000
99,0.000000,47794.012660,96855.538551,1707.000000,7.000000,1.000000
100,0.000000,46639.122749,95741.754350,1724.000000,7.000000,0.000000
101,0.000000,45530.463399,94673.641897,1739.000000,6.000000,0.000000
102,0.000000,44469.269885,93649.820819,1757.000000,7.000000,0.000000
103,0.000000,43456.741976,92668.896819,1774.000000,7.000000,1.000000
104,0.000000,42494.024781,91729.463301,1791.000000,7.000000,0.000000
105,0.000000,41582.190920,90830.103011,1808.000000,8.000000,0.000000
106,0.000000,40722.222529,89969.389723,1825.000000,8.000000,0.000000
