Iteration,t_k,gradnorm,objective,time,two_loop_time,grad_time
1,0.000000,40630745351738208.000000,10422954316843963398488064.000000,13.000000,1.000000,10.000000
2,0.000000,647202.844004,421946.422458,40.000000,0.000000,6.000000
3,0.000000,605014.186460,416830.447944,59.000000,0.000000,6.000000
4,0.000000,238345.093457,371677.372660,77.000000,0.000000,6.000000
5,0.000000,275241.981462,360157.870968,96.000000,1.000000,6.000000
6,0.000000,616934.826416,261935.908570,115.000000,0.000000,6.000000
7,0.000000,611849.765951,183452.177946,134.000000,0.000000,7.000000
8,0.000000,202277.522557,92692.357409,151.000000,0.000000,6.000000
9,0.000000,173143.468021,86336.988634,169.000000,0.000000,6.000000
10,0.000000,2170026.120075,116423.236145,187.000000,0.000000,6.000000
11,0.000000,44460.029322,85794.937256,206.000000,1.000000,6.000000
12,0.000000,44983.544058,85679.986321,225.000000,0.000000,6.000000
13,0.000000,93693.735296,82929.936542,244.000000,0.000000,6.000000
14,0.000000,123504.304155,79041.570950,262.000000,1.000000,6.000000
15,0.000000,100950.918111,73617.209507,281.000000,0.000000,6.000000
16,0.000000,77937.971946,62439.904733,299.000000,1.000000,6.000000
17,0.000000,13102849.782476,1161616.986267,318.000000,1.000000,6.000000
18,0.000000,152720.667095,41586.392192,335.000000,0.000000,6.000000
19,0.000000,56081.168763,34966.435473,353.000000,1.000000,6.000000
20,0.000000,39002.873757,28344.603321,372.000000,1.000000,6.000000
21,0.000000,149775.095324,30102.647830,391.000000,0.000000,6.000000
22,0.000000,10283.908247,28279.037480,410.000000,1.000000,6.000000
23,0.000000,9991.033509,28259.513921,429.000000,1.000000,6.000000
24,0.000000,251057.114276,27452.138524,448.000000,0.000000,6.000000
25,0.000000,311740.550100,27656.517709,466.000000,0.000000,6.000000
26,0.000000,27887.597735,26807.785348,485.000000,0.000000,6.000000
27,0.000000,21010.933957,26783.743352,504.000000,0.000000,6.000000
28,0.000000,20649.063902,26746.319159,526.000000,1.000000,6.000000
29,0.000000,31425.314474,26670.612712,545.000000,0.000000,7.000000
30,0.000000,72996.732772,26288.121553,564.000000,0.000000,6.000000
31,0.000000,107864.853716,25802.698830,583.000000,0.000000,7.000000
32,0.000000,454977.732274,26936.089952,601.000000,1.000000,6.000000
33,0.000000,60959.156849,25098.728504,620.000000,0.000000,6.000000
34,0.000000,51052.923436,24939.195997,638.000000,0.000000,6.000000
35,0.000000,19401.107594,24708.652984,657.000000,0.000000,7.000000
36,0.000000,38337.839281,24588.311887,676.000000,0.000000,7.000000
37,0.000000,108749.525086,24276.285867,694.000000,1.000000,6.000000
38,0.000000,121396.498478,23929.132497,712.000000,1.000000,6.000000
39,0.000000,456875.105468,25621.585643,732.000000,0.000000,7.000000
40,0.000000,59362.363624,23489.072695,751.000000,1.000000,6.000000
41,0.000000,48985.883921,23376.571513,768.000000,1.000000,6.000000
42,0.000000,49398.405271,23036.861500,786.000000,0.000000,6.000000
43,0.000000,137537.178976,23127.732456,803.000000,1.000000,6.000000
44,0.000000,28473.242746,22960.000803,821.000000,0.000000,6.000000
45,0.000000,21523.219549,22941.435981,840.000000,0.000000,7.000000
46,0.000000,30936.499355,22812.059472,857.000000,0.000000,6.000000
47,0.000000,8901.011300,22787.612931,874.000000,1.000000,6.000000
48,0.000000,18274.817409,22765.184504,893.000000,1.000000,6.000000
49,0.000000,37208.514970,22736.605856,911.000000,1.000000,6.000000
50,0.000000,81494.471013,22629.607727,928.000000,1.000000,6.000000
51,0.000000,87576.481673,22467.728905,945.000000,0.000000,6.000000
52,0.000000,640775.476450,28697.177394,963.000000,1.000000,6.000000
53,0.000000,47378.174222,22329.481600,982.000000,0.000000,7.000000
54,0.000000,19534.284554,22307.784299,1000.000000,1.000000,6.000000
55,0.000000,8928.590630,22296.459851,1018.000000,1.000000,6.000000
56,0.000000,12983.218877,22294.052570,1037.000000,0.000000,6.000000
57,0.000000,19190.988823,22285.197390,1054.000000,1.000000,6.000000
58,0.000000,23081.609037,22269.386039,1073.000000,0.000000,6.000000
59,0.000000,17092.156235,22237.815410,1091.000000,0.000000,6.000000
60,0.000000,31873.527260,22222.888526,1110.000000,0.000000,6.000000
61,0.000000,7645.284484,22212.903038,1130.000000,0.000000,7.000000
62,0.000000,4631.838565,22211.277166,1149.000000,0.000000,7.000000
63,0.000000,5623.330221,22210.416342,1168.000000,1.000000,6.000000
64,0.000000,13646.446079,22202.186126,1185.000000,0.000000,7.000000
65,0.000000,23430.269358,22186.377323,1202.000000,0.000000,6.000000
66,0.000000,41787.833358,22145.647103,1219.000000,0.000000,6.000000
67,0.000000,39634.376550,22074.579187,1237.000000,0.000000,6.000000
68,0.000000,407723.741899,23000.365182,1255.000000,1.000000,6.000000
69,0.000000,51849.287993,21966.224960,1273.000000,0.000000,6.000000
70,0.000000,31592.120910,21929.370790,1292.000000,1.000000,6.000000
71,0.000000,9893.444543,21889.554997,1309.000000,1.000000,6.000000
72,0.000000,9438.021554,21883.396966,1326.000000,0.000000,6.000000
73,0.000000,19638.774015,21711.614056,1344.000000,0.000000,6.000000
74,0.000000,22972.745864,21623.610134,1363.000000,1.000000,6.000000
75,0.000000,199274.480410,21818.585816,1382.000000,0.000000,6.000000
76,0.000000,14341.055588,21564.100168,1399.000000,0.000000,6.000000
77,0.000000,8957.002875,21557.062399,1416.000000,0.000000,6.000000
78,0.000000,6708.729370,21543.771334,1435.000000,1.000000,6.000000
79,0.000000,9758.556190,21521.260785,1453.000000,1.000000,6.000000
80,0.000000,23655.831467,21433.132041,1470.000000,1.000000,6.000000
81,0.000000,35520.170345,21313.582698,1488.000000,0.000000,6.000000
